类型,店铺名,店链接,商品名,商品链接,旺旺名,信用,电话1,电话2,销量,中评,差评,好评率,描述,描述同比,服务,服务同比,物流,物流同比,公司名,所在地,类目Id,类目
淘宝,知足健身房,https://shop105025487.taobao.com/,足底按摩垫指压板脚底穴位按摩器超痛超硬仿鹅卵石家用健身器材,https://item.taobao.com/item.htm?id=522868405181,方圆集团88,12,,18667603315,0,0,0,0,4.89744分,高于33.35%,4.89744分,高于22.78%,4.89744分,高于21.61%,,,0,
淘宝,AVIVA 地球店,https://shop60769312.taobao.com/,牛仔连衣裙女春秋2021年新款高腰欧洲站修身收腰显瘦欧货衬衫短裙,https://item.taobao.com/item.htm?id=566330713781,aviva_j,17,4001636017,18123926290,0,0,0,0,4.82837分,持平0.10%,4.86653分,高于3.34%,4.87815分,高于7.88%,,,0,
企业,石家庄丰成合商贸,https://shop116428176.taobao.com/,荷花酒 圣地柏坡情酒荷花酒42度500mlX4瓶 白酒整箱特价 河北特产,https://item.taobao.com/item.htm?id=562448768360,133lxl,9,,18031926595,0,0,0,0,4.7963,持平0.27%,4.85185,高于9.65%,4.87963分,高于23.81%,,,0,
淘宝,上海华光日用日本进口,https://shop72569582.taobao.com/,日本进口创意家用猫咪门挡防风防撞门组房门安全缓冲门阻磁铁门吸,https://item.taobao.com/item.htm?id=566077842155,日本家居收纳,18,,15821502791,0,0,0,0,4.88979,高于39.02%,4.91134,高于43.84%,4.91286分,高于42.78%,,,0,
淘宝,爱布饰手系列家饰,https://shop72653020.taobao.com/,高档欧式香槟绸缎布蕾丝电视套55寸65寸70寸曲面电视机罩电视蒙,https://item.taobao.com/item.htm?id=560238456724,梁鹏飞0687,14,,13269458738,0,0,0,0,4.85112分,高于17.62%,4.87349分,高于19.87%,4.8821分,高于22.58%,,,0,
淘宝,一人二两农家小店,https://shop70131814.taobao.com/,桂圆肉干500g包邮无核广西特级龙眼肉干6A干桂圆肉新货无核煲汤料,https://item.taobao.com/item.htm?id=522197101122,贰爱壹家居,16,,18107570230,0,0,0,0,4.80715,持平0.10%,4.83109,持平0.10%,4.8162分,低于0.53%,,,0,
淘宝,华麟拼装玩具,https://shop59711624.taobao.com/,皇冠桌上冰球机空气桌气悬球家庭体育亲子玩具儿童礼物3-6-8岁男,https://item.taobao.com/item.htm?id=9626822205,apple070331,13,,18970074365,0,0,0,0,4.87188,高于24.58%,4.8875,高于20.73%,4.8625分,持平0.10%,,,0,
淘宝,SOSO全球母婴店,https://shop553897206.taobao.com/,[SOSO全球]韩国K MOM抗菌收纳袋 密封袋儿童宝宝衣物餐具便携整理,https://item.taobao.com/item.htm?id=557786439280,qtools_hz,13,18157139166,15355031595,0,0,0,0,4.9249,高于55.79%,4.9249,高于47.08%,4.9249分,高于43.70%,,,0,
淘宝,精品先天下11,https://shop70268196.taobao.com/,金利来男鞋专柜正品鞋秋季新款专柜正品鞋套脚真皮商务休闲皮鞋男,https://item.taobao.com/item.htm?id=548356093405,精品先天下11,13,15933311730,15933311730,0,0,0,0,4.81818分,持平0.21%,4.84168分,持平0.42%,4.85714分,持平0.22%,,,0,
淘宝,贻鑫堂,https://shop281118966.taobao.com/,桃胶天然野生珍珠500g包邮食用云南特级桃花泪非皂角米雪燕组合,https://item.taobao.com/item.htm?id=557208256242,贻鑫堂,16,,15969550015,0,0,0,0,4.8323分,高于12.04%,4.87058分,高于21.08%,4.88076分,高于24.53%,,,0,
淘宝,OLD BUY 老白の店 阿,https://shop72138448.taobao.com/,阿美咔叽日本冈山帆布鞋久留米手工硫化鞋男女情侣低帮复古休闲鞋,https://item.taobao.com/item.htm?id=558144627990,棉攻厂,14,18623092913,,0,0,0,0,4.84056,高于7.08%,4.87093,高于6.46%,4.87744分,高于7.27%,,,0,
企业,传播者饮品体验中心,https://shop125213277.taobao.com/,比亚乐 韩国进口蜂蜜柚子茶1150g 蜜炼水果味果酱 水果茶冲饮饮料,https://item.taobao.com/item.htm?id=520363522641,linggancafe,11,021-32569899,13681778771,0,0,0,0,5.0,高于100.00%,5.0,高于100.00%,5.0分,高于100.00%,,,0,
企业,贺店美玉,https://shop108316783.taobao.com/,酒泉夜光杯祁连玉夜光杯武山鸳鸯玉甘肃贺店玉雕高脚杯酒杯墨玉壶,https://item.taobao.com/item.htm?id=549482342488,游程网88,9,18294225512,18093863443,0,0,0,0,4.91057,高于36.77%,4.94167,高于49.81%,4.93333分,高于39.86%,,,0,
淘宝,曦淇家居工厂直销,https://shop61294748.taobao.com/,欧式干果盘糖果盒分格带盖客厅创意水果盘茶几瓜子零食盒实木包邮,https://item.taobao.com/item.htm?id=566388541021,一缕缕晨曦,13,13922105959,18820001616,0,0,0,0,4.87536分,高于30.98%,4.89855分,高于35.80%,4.8971分,高于32.49%,,,0,
淘宝,牛男健身海淘补剂店,https://shop107719885.taobao.com/,新款眼镜蛇氮泵 幽灵氮泵 Shadow-X 30份原装现货 增力量 耐力,https://item.taobao.com/item.htm?id=524378030636,牛男健身补剂店,13,,13606326456,0,0,0,0,4.93496分,高于65.89%,4.94497分,高于66.44%,4.94434分,高于64.77%,,,0,
淘宝,埃可米 ACME 口哨,https://shop130548027.taobao.com/,【官方源头】英国埃可米ACME口哨1916一战警笛金属口哨子时尚饰品,https://item.taobao.com/item.htm?id=566389648681,小柒当当,11,,15869392008,0,0,0,0,4.78793分,低于1.20%,4.86378分,持平0.10%,4.89164分,高于17.17%,,,0,
企业,雅科达户外战术装备,https://shop70517664.taobao.com/,雅科达真人CS战术背心军迷战术装备用品作战马甲6094战术背心马甲,https://item.taobao.com/item.htm?id=566154732405,雅科达旅游用品,13,020-36987300,18928277274,0,0,0,0,4.93624,高于58.57%,4.92114,高于40.63%,4.94128分,高于55.12%,,,0,
企业,配餐消毒柜厂家直销网,https://shop58686289.taobao.com/,双门消毒柜大理石柜商用大型消毒碗柜无抽餐具茶水配餐柜1米宽,https://item.taobao.com/item.htm?id=563513052688,pli524231,10,,13202878048,0,0,0,0,4.91071,高于36.56%,4.93155,高于45.33%,4.93452分,高于45.75%,,,0,
淘宝,佐夫高端包袋,https://shop58838827.taobao.com/,ZUOFU 荔枝纹真皮铂金包头层牛皮手提包牛皮单肩斜跨包真皮女包,https://item.taobao.com/item.htm?id=547353301907,duzhenfu,12,,18267135660,0,0,0,0,4.7993,低于0.60%,4.85563,持平0.13%,4.8662分,持平0.10%,,,0,
企业,世好多食品,https://shop57655251.taobao.com/,爆口福爆米花专用油 奶香味黄油椰子油原料 可爆蝶形球形桶装4L,https://item.taobao.com/item.htm?id=567176470350,秋水人家sm,15,,18658258261,0,0,0,0,4.84379,高于18.07%,4.84444,高于5.13%,4.84052分,持平0.10%,,,0,
淘宝,海西家,https://shop60893383.taobao.com/,一袋5斤包邮 福建特产红山楂 红蜜山楂 山楂果蜜饯休闲零食2500克,https://item.taobao.com/item.htm?id=5799477859,zlz832,13,,15606070240,0,0,0,0,4.82897,高于10.30%,4.86196,高于15.82%,4.86213分,高于12.73%,,,0,
淘宝,【齐鲁商盟】朔风来袭,https://shop67284608.taobao.com/,孔明锁鲁班锁解锁解环拆解休闲益智古典儿童玩具榉木精品全套,https://item.taobao.com/item.htm?id=555068563848,朔风来袭,13,17009269266,,0,0,0,0,4.80247分,低于0.57%,4.90123分,高于30.40%,4.87654分,高于7.44%,,,0,
企业,宝堡乐,https://shop144844583.taobao.com/,马利牌 丙烯颜料100ml 马利A1100 墙绘 手绘颜料 DIY创作,https://item.taobao.com/item.htm?id=553393190631,宝堡乐magic,12,,17708333424,0,0,0,0,4.9173,高于51.32%,4.92956,高于50.37%,4.93262分,高于49.49%,,,0,
淘宝,美丝梦莎品牌窗帘布艺,https://shop63626609.taobao.com/,奢华法式高档飘窗全遮光拼接成品窗帘布加厚绒布欧式客厅双层窗户,https://item.taobao.com/item.htm?id=562508048198,gp一枝梅,10,,15925842488,0,0,0,0,4.79452分,低于0.51%,4.80365分,低于0.79%,4.79452分,低于1.10%,,,0,
淘宝,吾倪季,https://shop34103370.taobao.com/,JINIWU吾倪季男士休闲皮鞋厚底增高鞋德比金属头英伦皮鞋潮流男鞋,https://item.taobao.com/item.htm?id=543499457625,andynw,14,,18006884989,0,0,0,0,4.78131分,低于0.97%,4.80701分,低于1.13%,4.82523分,低于0.87%,,,0,
淘宝,正东摩配 摩托车改装,https://shop63803639.taobao.com/,摩托车改装跑车川崎黄龙大排量直通炮筒SC网盖炸街天蝎排气管通用,https://item.taobao.com/item.htm?id=558684545834,moto由我,14,,15921244554,0,0,0,0,4.76302分,低于1.54%,4.75521分,低于2.05%,4.70573分,低于3.12%,,,0,
